Draw Date,Number 1,Number 2,Number 3,Number 4,Number 5,Powerball
2022-02-23,6,17,21,35,64,18
2022-02-26,15,32,36,48,64,19
2022-02-28,7,21,39,47,55,19
2022-03-02,19,37,48,61,63,12
2022-03-05,8,23,37,52,63,13
2022-03-07,10,43,55,59,67,2
2022-03-09,13,22,34,51,67,10
2022-03-12,19,20,37,39,61,8
2022-03-14,21,28,32,44,49,6
2022-03-16,3,28,34,35,58,17
2022-03-19,8,9,18,48,52,6
2022-03-21,1,15,26,63,65,16
2022-03-23,31,32,37,38,48,24
2022-03-26,2,10,50,59,61,6
2022-03-28,11,18,39,58,62,3
2022-03-30,3,7,21,31,37,11
2022-04-02,6,28,47,58,59,18
2022-04-04,2,32,39,46,69,6
2022-04-06,6,42,45,47,64,18
2022-04-09,6,16,31,62,66,18
2022-04-11,5,7,24,31,34,4
2022-04-13,14,16,41,63,68,26
2022-04-16,15,21,32,62,65,26
2022-04-18,8,33,55,59,62,18
2022-04-20,20,30,45,55,56,14
2022-04-23,10,39,47,49,56,8
2022-04-25,12,18,20,39,61,10
2022-04-27,11,36,61,62,68,4
2022-04-30,14,21,37,44,63,1
2022-05-02,18,27,33,39,44,8
2022-05-04,37,39,55,63,69,23
2022-05-07,4,5,6,28,67,10
2022-05-09,18,30,35,52,56,5
2022-05-11,5,7,61,63,69,18
2022-05-14,6,40,41,45,52,9
2022-05-16,7,15,22,36,64,13
2022-05-18,40,41,58,64,65,17
2022-05-21,14,15,25,52,58,11
2022-05-23,1,33,37,39,42,26
2022-05-25,19,28,39,42,57,17
2022-05-28,2,39,50,61,66,15
2022-05-30,27,28,51,68,69,22
2022-06-01,11,41,56,57,63,2
2022-06-04,14,16,36,52,60,16
2022-06-06,2,10,35,44,46,4
2022-06-08,22,39,43,62,64,7
2022-06-11,18,20,26,53,69,5
2022-06-13,2,27,42,44,51,25
2022-06-15,19,28,41,42,51,7
2022-06-18,10,19,40,45,58,25
2022-06-20,3,44,61,63,69,13
2022-06-22,6,10,31,48,56,12
2022-06-25,6,12,20,27,32,4
2022-06-27,11,13,18,30,37,16
2022-06-29,8,40,49,58,63,14
2022-07-02,9,10,37,59,62,26
2022-07-04,15,16,24,31,56,4
2022-07-06,32,36,49,62,69,13
2022-07-09,14,22,42,46,52,24
2022-07-11,4,26,34,37,52,9
2022-07-13,22,23,36,47,63,2
2022-07-16,3,18,23,32,57,21
2022-07-18,14,34,36,50,58,5
2022-07-20,10,20,23,49,65,22
2022-07-23,39,41,54,59,62,12
2022-07-25,25,37,38,39,65,5
2022-07-27,1,25,44,55,57,26
2022-07-30,4,17,57,58,68,12
2022-08-01,15,21,31,36,65,16
2022-08-03,9,21,56,57,66,11
2022-08-06,8,15,46,56,68,3
2022-08-08,32,45,51,57,58,12
2022-08-10,29,44,59,61,68,19
2022-08-13,19,24,35,43,62,2
2022-08-15,20,24,47,50,63,5
2022-08-17,23,28,41,50,55,24
2022-08-20,5,9,11,16,66,7
2022-08-22,12,27,34,55,67,9
2022-08-24,6,24,35,37,44,22
2022-08-27,2,18,56,60,65,14
2022-08-29,13,36,43,61,69,18
2022-08-31,7,8,19,24,28,1
2022-09-03,18,27,49,65,69,9
2022-09-05,4,7,32,55,64,25
2022-09-07,3,16,30,33,36,20
2022-09-10,38,42,56,68,69,4
2022-09-12,6,14,16,34,66,25
2022-09-14,9,10,20,22,52,25
2022-09-17,5,25,36,51,61,1
2022-09-19,7,15,36,46,67,7
2022-09-21,6,33,34,45,54,7
2022-09-24,3,9,21,24,29,14
2022-09-26,13,20,31,33,59,20
2022-09-28,6,10,24,33,67,11
